path,label,title,author,license,license_url,source_page,original_url,download_url,collected_at,width,height,sha256,modification
experiments/data/raw/butterfly/7716212.jpg,butterfly,File:ComputerHotline - Danaus plexippus (by) (3).jpg,Thomas Bresson,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:ComputerHotline_-_Danaus_plexippus_(by)_(3).jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/ComputerHotline_-_Danaus_plexippus_%28by%29_%283%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7d/ComputerHotline_-_Danaus_plexippus_%28by%29_%283%29.jpg/960px-ComputerHotline_-_Danaus_plexippus_%28by%29_%283%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,2026-09-07,960,1027,0af4e760bccc855ab5341ded65e689870d7a76320e5178e36967ffd1061d08d4,Wikimedia server thumbnail; no local pixel editing
experiments/data/raw/butterfly/10348903.jpg,butterfly,File:Danaus plexippus (7).jpg,Thomas Bresson,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Danaus_plexippus_(7).jpg,https://upload.wikimedia.org/wikipedia/commons/0/0b/Danaus_plexippus_%287%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0b/Danaus_plexippus_%287%29.jpg/960px-Danaus_plexippus_%287%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,2026-09-07,960,567,66da5d98293d5bd2f57eeaedb778eca5fd73c8fd5616f4cb6946a9e4bbda3c5e,Wikimedia server thumbnail; no local pixel editing
experiments/data/raw/butterfly/129745857.jpg,butterfly,File:Monarch butterflies (Danaus plexippus plexippus) Piedra Herrada 2.jpg,Charles J. Sharp,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Monarch_butterflies_(Danaus_plexippus_plexippus)_Piedra_Herrada_2.jpg,https://upload.wikimedia.org/wikipedia/commons/5/54/Monarch_butterflies_%28Danaus_plexippus_plexippus%29_Piedra_Herrada_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/54/Monarch_butterflies_%28Danaus_plexippus_plexippus%29_Piedra_Herrada_2.jpg/960px-Monarch_butterflies_%28Danaus_plexippus_plexippus%29_Piedra_Herrada_2.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,2026-09-07,960,640,f4b6f4cac6218942eeef0b5277e334a94a1ba0929f8dbd97610f2b125dd4d3bf,Wikimedia server thumbnail; no local pixel editing
experiments/data/raw/butterfly/5386936.jpg,butterfly,File:Monarch Butterfly Danaus plexippus Tagged Closeup 3008px.jpg,Photo by and (c)2008 Derek Ramsey (Ram-Man),CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Monarch_Butterfly_Danaus_plexippus_Tagged_Closeup_3008px.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c3/Monarch_Butterfly_Danaus_plexippus_Tagged_Closeup_3008px.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c3/Monarch_Butterfly_Danaus_plexippus_Tagged_Closeup_3008px.jpg/960px-Monarch_Butterfly_Danaus_plexippus_Tagged_Closeup_3008px.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,2026-09-07,960,638,c4aa3327fd38d6289c945d476bd31392d7513611cbbb5252e45654d19b62d4ec,Wikimedia server thumbnail; no local pixel editing
experiments/data/raw/butterfly/20370978.jpg,butterfly,File:2012-07-20 15-16-40-Danaus plexippus.jpg,Thomas Bresson,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://commons.wikimedia.org/wiki/File:2012-07-20_15-16-40-Danaus_plexippus.jpg,https://upload.wikimedia.org/wikipedia/commons/9/96/2012-07-20_15-16-40-Danaus_plexippus.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/96/2012-07-20_15-16-40-Danaus_plexippus.jpg/960px-2012-07-20_15-16-40-Danaus_plexippus.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,2026-09-07,960,832,f6d8744542cb3992b813660952b1b31ae892f8830fa81ec683984b2d1cd290d2,Wikimedia server thumbnail; no local pixel editing
experiments/data/raw/butterfly/13731530.jpg,butterfly,"File:Male monarch butterfly (Danaus plexippus), about to take first flight.jpg",Avenue,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"https://commons.wikimedia.org/wiki/File:Male_monarch_butterfly_(Danaus_plexippus),_about_to_take_first_flight.jpg",https://upload.wikimedia.org/wikipedia/commons/0/06/Male_monarch_butterfly_%28Danaus_plexippus%29%2C_about_to_take_first_flight.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/06/Male_monarch_butterfly_%28Danaus_plexippus%29%2C_about_to_take_first_flight.jpg/960px-Male_monarch_butterfly_%28Danaus_plexippus%29%2C_about_to_take_first_flight.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,2026-09-07,960,852,e92cdddcf79e73085e220ff6cef954f8f7df2183113a5f30abce23b94fb8b7c6,Wikimedia server thumbnail; no local pixel editing
experiments/data/raw/butterfly/25334420.jpg,butterfly,"File:Mariposa monarca (Danaus plexippus), Jardín Botánico de Múnich, Alemania, 2013-01-27, DD 01.JPG",Diego Delso,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"https://commons.wikimedia.org/wiki/File:Mariposa_monarca_(Danaus_plexippus),_Jard%C3%ADn_Bot%C3%A1nico_de_M%C3%BAnich,_Alemania,_2013-01-27,_DD_01.JPG",https://upload.wikimedia.org/wikipedia/commons/a/af/Mariposa_monarca_%28Danaus_plexippus%29%2C_Jard%C3%ADn_Bot%C3%A1nico_de_M%C3%BAnich%2C_Alemania%2C_2013-01-27%2C_DD_01.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/af/Mariposa_monarca_%28Danaus_plexippus%29%2C_Jard%C3%ADn_Bot%C3%A1nico_de_M%C3%BAnich%2C_Alemania%2C_2013-01-27%2C_DD_01.JPG/960px-Mariposa_monarca_%28Danaus_plexippus%29%2C_Jard%C3%ADn_Bot%C3%A1nico_de_M%C3%BAnich%2C_Alemania%2C_2013-01-27%2C_DD_01.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,2026-09-07,960,561,c2349d233ae390b54dbeb56d7a1097c97e47dee1fff58fd32d7beb20d2fcf173,Wikimedia server thumbnail; no local pixel editing
experiments/data/raw/butterfly/10348890.jpg,butterfly,File:Danaus plexippus (6).jpg,Thomas Bresson,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Danaus_plexippus_(6).jpg,https://upload.wikimedia.org/wikipedia/commons/e/e1/Danaus_plexippus_%286%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e1/Danaus_plexippus_%286%29.jpg/960px-Danaus_plexippus_%286%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,2026-09-07,960,571,90f347b81c4799e9f8330bd9c6b05fb5da4667beaae75a412b4d272c91e52b7a,Wikimedia server thumbnail; no local pixel editing
experiments/data/raw/butterfly/129834163.jpg,butterfly,File:Monarch (Danaus plexippus plexippus) underside Piedra Herrada.jpg,Charles J. Sharp,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Monarch_(Danaus_plexippus_plexippus)_underside_Piedra_Herrada.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a9/Monarch_%28Danaus_plexippus_plexippus%29_underside_Piedra_Herrada.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a9/Monarch_%28Danaus_plexippus_plexippus%29_underside_Piedra_Herrada.jpg/960px-Monarch_%28Danaus_plexippus_plexippus%29_underside_Piedra_Herrada.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,2026-09-07,960,640,ea26a164e4f0c77af2d8fe18b39904fee1ea26b072075ae7d1355f5abbfc7477,Wikimedia server thumbnail; no local pixel editing
experiments/data/raw/butterfly/20371400.jpg,butterfly,File:2012-07-20 15-33-07-Danaus plexippus.jpg,Thomas Bresson,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://commons.wikimedia.org/wiki/File:2012-07-20_15-33-07-Danaus_plexippus.jpg,https://upload.wikimedia.org/wikipedia/commons/4/40/2012-07-20_15-33-07-Danaus_plexippus.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/40/2012-07-20_15-33-07-Danaus_plexippus.jpg/960px-2012-07-20_15-33-07-Danaus_plexippus.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,2026-09-07,960,886,4b46c8ccb0c664a1e0db2562d46c2d31217218faca556ee5d9d6112577771a76,Wikimedia server thumbnail; no local pixel editing
